tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8479,NA,ABLA,2.7,-,T,3.0,-,-,T,2,S,A,S,BW 10% red,-,90,100,0,Y,-,,2026-08-08,,cii,"CII reads like 2 with an extra stroke - entered 2, confirm"
8480,NA,ABLA,5.9,-,T,7.1,-,-,T,4,S,A,S,BW 10% red,5.8,90,90,0,Y,-,,2026-08-08,,,
8481,NA,ABLA,1.9,-,T,1.7,1.7,-,C,2,S,A,S,-,-,100,100,0,N,-,,2026-08-08,,,
8482,NA,PIEN,4.3,-,T,7.0,-,-,T,3,S,A,S,BW,-,90,80,0,Y,1,,2026-08-08,,,
8483,NA,PIEN,2.4,-,T,3.5,3.7,-,C,2,S,A,S,BW 20% red sappy,-,100,100,0,Y,-,,2026-08-08,,,
8484,NA,PICO,2.5,-,T,2.7,2.8,-,C,3,S,A,S,-,-,100,100,0,N,-,,2026-08-08,,,
8485,NA,ABLA,2.1,-,T,1.9,2.0,-,C,2,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,row,"Row has a line drawn through DeathDam_Status / DeathDam_Mode and the crown/leaves numbers look faint - entered as read, confirm"
8486,NA,PIEN,1.6,-,T,2.0,2.0,-,C,1,S,A,L,-,-,100,100,30,N,1,bent over at DBH,2026-08-08,,,
8487,NA,ABLA,2.3,-,T,2.9,3.0,-,C,2,S,A,S,BW,-,100,100,0,Y,-,light BW,2026-08-08,,,
8488,NA,ABLA,3.1,-,T,3.7,3.6,-,C,3,S,A,S,BW,-,100,100,0,Y,-,light BW,2026-08-08,,,
8489,NA,ABLA,2.5,-,T,2.0,2.0,-,C,2,S,A,S,BW,-,100,100,0,Y,1,choked by collar (non-fixed),2026-08-08,,,
8490,NA,PIEN,0.6,-,T,3.3,3.2,-,C,2,S,A,L,sappy,-,70,70,90,N,-,under 8491,2026-08-08,,,
8491,NA,ABLA,,,,NA,,,,,,D,U,,,,,,,,,2026-08-08,Y,,
8492,NA,ABLA,3.8,-,T,6.2,-,-,T,4,S,A,S,BW,3.7,100,90,0,Y,-,dead at top,2026-08-08,,,
8493,NA,ABLA,2.5,-,T,3.5,3.5,-,C,3,S,A,S,BW 20% yellow,-,100,100,0,Y,-,,2026-08-08,,,
8494,NA,PIEN,2.3,-,T,2.6,2.7,-,C,3,S,A,S,BW,-,100,100,0,Y,-,light BW,2026-08-08,,deathdam_mode,"DeathDam_Mode reads 'BV' (likely BW) - entered BW, confirm"
8495,NA,PICO,2.7,-,T,3.5,3.0,-,C,2,S,A,L,10% red,-,100,100,5,Y,-,,2026-08-08,,pct_leaves,% Leaves reads 106 (a 100 with an extra mark) - entered 100
8496,NA,PIEN,2.9,-,T,3.3,3.4,-,C,2,S,A,S,-,-,100,100,0,N,-,,2026-08-08,,,
8497,NA,ABLA,2.6,-,T,2.9,3.0,-,C,3,S,A,S,BW 10% red,-,90,90,0,Y,2,deep narrow trunk wound,2026-08-08,,degrees_leaning,"Degrees_Leaning is a triangle-like scribble - entered 0, confirm"
8498,NA,ABLA,2.6,-,T,3.1,3.1,-,C,3,S,A,S,BW 20% yellow,-,100,100,0,Y,-,,2026-08-08,,pct_crown,"% Crown / % Leaves have extra marks (look like 105 / 700) - entered 100 / 100, confirm"
8499,NA,PICO,6.0,-,T,9.1,-,-,T,4,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,row,"Row has a line drawn through DeathDam_Status through Leaf_Damage and faint crown/leaves numbers - entered as read, confirm; DBH_1 reads 9.7 / 9.1 (entered 9.1); DBH_HOM is a dash on this whole sheet"
8500,NA,PICO,2.1,-,T,1.5,1.6,-,C,2,S,A,S,sappy 10% red,-,100,100,0,Y,1,next to 8499,2026-08-08,,,
8501,NA,PIEN,12.6,12.2,H,18.5,-,-,T,3,I,A,S,BW,-,100,70,0,Y,-,mistagged dead tree leaning on it,2026-08-08,,degrees_leaning,"Degrees_Leaning is a scribble (loop) - entered 0, confirm; comment partly hard to read"
8502,NA,ABLA,2.2,-,T,3.1,3.2,-,C,4,S,A,S,BW,-,100,100,0,Y,-,,2026-08-08,,,
8503,NA,PICO,1.8,-,T,1.2,1.2,-,C,3,S,A,S,-,-,100,90,0,N,-,,2026-08-08,,,
8504,NA,PIEN,2.4,-,T,3.4,3.6,-,C,3,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8505,NA,ABLA,3.2,-,T,4.8,4.8,-,C,4,S,A,S,BW,-,100,100,0,Y,-,,2026-08-08,,,
8506,NA,PICO,3.5,-,T,6.3,-,-,T,4,S,A,L,10% red,-,100,90,5,Y,2,,2026-08-08,,leaf_damage,"Leaf_Damage letter is overwritten (Y over N) - entered Y, confirm"
